sentence,label,text_clean
"In its financial report , published on Friday , SEB said its net profit soared to SEK6 .745 bn in 2010 from a year-earlier SEK1 .114 bn and proposed a 50 % dividend increase to SEK1 .50 per share .",positive,financial report publish Friday seb say net profit soar sek billion year early sek billion propose dividend increase sek per share
"At the request of Finnish media company Alma Media 's newspapers , research manager Jari Kaivo-oja at the Finland Futures Research Centre at the Turku School of Economics has drawn up a future scenario for Finland 's national economy by using a model developed by the University of Denver .",neutral,request finnish media company alma media newspaper research manager jari kaivo Oja finland future research centre turku school economics draw future scenario finland national economy use model develop university denver
STOCK EXCHANGE ANNOUNCEMENT 20 July 2006 1 ( 1 ) BASWARE SHARE SUBSCRIPTIONS WITH WARRANTS AND INCREASE IN SHARE CAPITAL A total of 119 850 shares have been subscribed with BasWare Warrant Program .,neutral,stock exchange announcement july basware share subscription warrant increase share capital total share subscribe basware warrant program
"A maximum of 666,104 new shares can further be subscribed for by exercising B options under the 2004 stock option plan .",neutral,maximum new share subscribe exercising option stock option plan
Tiimari operates 194 stores in six countries -- including its core Finnish market -- and generated a turnover of 76.5 mln eur in 2005 .,neutral,tiimari operate store six country include core finnish market generate turnover mln eur
The acquisition will considerably increase Kemira 's sales and market position in the Russian metal industry coatings market .,positive,acquisition considerably increase kemira sale market position russian metal industry coating market
"In January-September 2007 , Finnlines ' net sales rose to EUR 505.4 mn from EUR 473.5 mn in the corresponding period in 2006 .",positive,january september finnline net sale rise eur mn eur mn corresponding period
"Adjusted for changes in the Group structure , the Division 's net sales increased by 1.7 % .",positive,adjust change group structure division net sale increase
"4 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V saw its net profit jump to EUR2 .1 m for the last quarter of 2010 from EUR995 ,000 for the same period of 2009 .",positive,february finnish broadband datum communication system provider teleste oyj hel tlt see net profit jump eur last quarter eur period
Finnish Aktia Group 's operating profit rose to EUR 17.5 mn in the first quarter of 2010 from EUR 8.2 mn in the first quarter of 2009 .,positive,finnish aktia group operating profit rise eur mn first quarter eur mn first quarter
Finnish Bank of +land 's consolidated net operating profit increased from EUR 4.8 mn in the first quarter of 2005 to EUR 6.4 mn in the first quarter of 2006 .,positive,finnish bank land consolidate net operating profit increase eur mn first quarter eur mn first quarter
"Finnish financial group Aktia reports operating profit of EUR 44.4 mn in January-September 2009 , up from EUR 37.3 mn in the corresponding period in 2008 .",positive,finnish financial group aktia report operating profit eur mn january september eur mn corresponding period
"Finnish high technology provider Vaahto Group reports net sales of EUR 41.8 mn in the accounting period September 2007 - February 2008 , an increase of 11.2 % from a year earlier .",positive,finnish high technology provider vaahto group report net sale eur mn accounting period september february increase year early
Net sales of Finnish food industry company L+nnen Tehtaat 's continuing operations increased by 13 % in 2008 to EUR 349.1 mn from EUR 309.6 mn in 2007 .,positive,net sale finnish food industry company nnen tehtaat continue operation increase eur mn eur mn
Biohit already services many current Genesis customers and the customer base is expected to expand as a result of this agreement .,positive,biohit already service many current genesis customer customer base expect expand result agreement
"Both operating profit and turnover for the three-month period increased , respectively from EUR0 .9 m and EUR8 .3 m , as compared to the corresponding period in 2005 .",positive,operating profit turnover three month period increase respectively eur eur compare corresponding period
Circulation revenue has increased by 5 % in Finland and 4 % in Sweden in 2008 .,positive,circulation revenue increase finland sweden
Clothing chain Sepp+l+ 's net sales increased by 7.0 % to EUR 30.8 mn .,positive,clothing chain sepp net sale increase eur mn
Construction volumes meanwhile grow at a rate of 10-15 percent annually .,positive,construction volume meanwhile grow rate percent annually
"However , Biohit estimates its total net sales will continue to grow in 2009 , and that favourable trends in net sales will lead to a profit in 2009 .",positive,however biohit estimate total net sale continue grow favourable trend net sale lead profit
"In 2009 , Fiskars ' cash flow from operating activities amounted to EUR121m , up from EUR97m in the previous year .",positive,fiskar cash flow operating activity amount eur eur previous year
"In Lithuania , operating profit rose to EUR 190,000 from EUR 70,000 in the corresponding period in 2005 .",positive,lithuania operating profit rose eur eur corresponding period
"In the fourth quarter of 2008 , net sales increased by 2 % to EUR 1,050.7 mn from EUR 1,027.0 mn in the fourth quarter of 2007 .",positive,fourth quarter net sale increase eur mn eur mn fourth quarter
"International sales rose by 59.8 % to EUR 1,244.4 mn .",positive,international sale rise eur mn
Net sales grew in the period to  x20ac 402 million $ 585US million from  x20ac 401 million in 2006 .,positive,net sale grow period ac million we million ac million
Net sales increased to EUR655m in April to June 2010 from EUR438m a year earlier .,positive,net sale increase eur april June eur year early
"Net sales rose by 25.5 % year-on-year to EUR59 .6 m , as the number of chargers delivered went up by 41 % to 65.9 million pieces .",positive,net sale rose year year eur number charger deliver go million piece
"Net sales totaled EUR 93.6 mn , up from EUR 93.2 mn in the corresponding period in 2005 .",positive,net sale totale eur mn eur mn corresponding period
Operating profit increased by 145.1 % to EUR 8.3 mn from EUR 3.4 mn .,positive,operating profit increase eur mn eur mn
Operating profit margin increased from 11.2 % to 11.7 % .,positive,operating profit margin increase
Operating profit rose to EUR 3.11 mn from EUR 1.22 mn in the corresponding period in 2009 .,positive,operating profit rise eur mn eur mn corresponding period
Operating profit rose to EUR 5mn from EUR 2.8 mn in the fourth quarter of 2008 .,positive,operating profit rise eur mn eur mn fourth quarter
"Operating profit was EUR 24.5 mn , up from EUR 23.0 mn .",positive,operating profit eur mn eur mn
"Ramirent 's net sales in the second quarterended June 30 were EURO 128.7 million about U.S. $ 163 million , a 3.3-percent increase compared with EURO 124.6 million for thesecond quarter last year .",positive,ramirent net sale second quarterended June euro million million percent increase compare euro million thesecond quarter last year
"Revenue grew by 2 percent to  x20ac 580 million $ 743 million , from  x20ac 569 million .",positive,revenue grow percent ac million million ac million
"Ruukki 's delivery volumes and selling prices showed favourable development and the company 's comparable net sales grew by 50 % year-on-year to EUR647m , CEO Sakari Tamminen said .",positive,ruukki delivery volume sell price show favourable development company comparable net sale grow year year eur ceo sakari tamminen say
"The company 's consolidated operating profit amounted to EUR 15.86 mn , up from EUR 4.14 mn year-on-year .",positive,company consolidate operating profit amount eur mn eur mn year year
The Department Store Division reported an increase in sales of 4 per cent .,positive,department store division report increase sale per cent
The fair value of the company 's investment properties grew to EUR 2.803 billion at the end of March 2009 from EUR 2.691 million a year ago .,positive,fair value company investment property grow eur billion end march eur million year ago
"The last quarter was the best quarter of 2009 in net sales , and the operating margin rose to 12.2 % .",positive,last quarter good quarter net sale operating margin rose
"The major breweries increased their domestic beer sales by 4.5 per cent last year , to 256.88 million litres from 245.92 million litres in 2004 .",positive,major brewery increase domestic beer sale per cent last year million litre million litre
- Operating profit rose by 26.9 % to EUR 105.8 ( 83.4 ) million .,positive,operating profit rise eur million
21 October 2010 - Finnish fishing tackle company Rapala VMC Corp ( HEL : RAP1V ) said today its net profit rose to EUR18 .9 m for the first nine months of 2010 from EUR15 .1 m for the same period a year earlier .,positive,october finnish fishing tackle company rapala vmc corp hel rap say today net profit rise eur first nine month eur period year early
"According to Finnish Metso Minerals , the value of the company 's orders has gone up to EUR 1.9 bn in 12 months .",positive,accord finnish metso mineral value company order go eur billion month
Finnish Bank of +land reports its operating profit rose to EUR 21.3 mn in the second quarter of 2009 from EUR 6.1 mn in the corresponding period in 2008 .,positive,finnish bank land report operating profit rise eur mn second quarter eur mn corresponding period
Finnish financial group Aktia 's operating profit for 2009 increased to EUR 47.0 mn from EUR 6.6 mn in 2008 .,positive,finnish financial group aktia operating profit increase eur mn eur mn
Finnish forest machinery manufacturer Ponsse 's net sales grew to EUR 51.3 mn in the first quarter of 2010 from EUR 37.5 mn in the corresponding period in 2009 .,positive,finnish forest machinery manufacturer ponsse net sale grow eur mn first quarter eur mn corresponding period
Finnish KCI Konecranes has raised its net sales growth estimate for 2006 from over 25 % to over 35 % .,positive,finnish kci konecrane raise net sale growth estimate
"According to HKScan Finland , the plan is to increase J+rvi-Suomen Portti 's net sales to EUR 80mn to EUR 100mn .",positive,accord hkscan finland plan increase rvi suomen portti net sale eur mn eur mn
"Advertising and circulation revenues grew by 3.4 % and by 0.4 % , respectively .",positive,advertising circulation revenue grow respectively
"At the end of March 2007 , the group 's order book was at EUR 39.6 mn , up 42 % from the corresponding period in 2006 .",positive,end march group order book eur mn corresponding period
"At the same time profit of the company increased by 10 % in H1 and reached Ls 79,000 .",positive,time profit company increase reach ls
"Both operating profit and net sales for the 12-month period increased , respectively from EUR10 .5 m and EUR28 .8 m , as compared to the financial year 2004 .",positive,operating profit net sale month period increase respectively eur eur compare financial year
"Both operating profit and net sales for the 12-month period increased , respectively from EUR21 .5 m and EUR196 .1 m , as compared to 2005 .",positive,operating profit net sale month period increase respectively eur eur compare
"Both operating profit and net sales for the nine-month period increased , respectively by 26.6 % and 3.4 % , as compared to the corresponding period in 2006 .",positive,operating profit net sale nine month period increase respectively compare corresponding period
"Both operating profit and net sales for the six-month period increased , respectively , from EUR13 .8 m and EUR143 .6 m , as compared to the corresponding period in 2007 .",positive,operating profit net sale six month period increase respectively eur eur compare corresponding period
"Both operating profit and net sales for the three-month period increased , respectively from EUR15 .1 m and EUR131 .5 m , as compared to the corresponding period in 2005 .",positive,operating profit net sale three month period increase respectively eur eur compare corresponding period
"Both operating profit and net sales for the three-month period increased , respectively from EUR16 .0 m and EUR139m , as compared to the corresponding quarter in 2006 .",positive,operating profit net sale three month period increase respectively eur eur compare corresponding quarter
"Both operating profit and sales for the three-month period increased , respectively from EUR0 .3 m and EUR13 .1 m , as compared to the corresponding period in 2005 .",positive,operating profit sale three month period increase respectively eur eur compare corresponding period
"Both operating profit and turnover for the nine-month period increased , respectively from EUR2 .4 m and EUR43 .8 m , as compared to the corresponding period a year ago .",positive,operating profit turnover nine month period increase respectively eur eur compare corresponding period year ago
"Both operating profit and turnover for the six-month period increased , respectively , from EUR17 .6 m and EUR1149 .9 m , as compared to the corresponding period in 2007 .",positive,operating profit turnover six month period increase respectively eur eur compare corresponding period
"Both operating profit and turnover for the six-month period increased , respectively from EUR0 .1 m and EUR29 .0 m , as compared to the corresponding period a year ago .",positive,operating profit turnover six month period increase respectively eur eur compare corresponding period year ago
Cargo volume increased by approximately 5 % .,positive,cargo volume increase approximately
"comparable operating profit totaled EUR 854mn , up from EUR 730mn in 2004 .",positive,comparable operating profit totale eur mn eur mn
"Digia said its consolidated net sales for January-June 2010 were EUR67 .8 m , up 9.7 % on the same period in 2009 ( EUR61 .9 m ) .",positive,digia say consolidate net sale january June eur period eur
Diluted earnings per share ( EPS ) rose to EUR 0.29 from EUR 0.05 .,positive,dilute earnings per share eps rise eur eur
Diluted earnings per share ( EPS ) rose to EUR 0.52 versus EUR 0.09 .,positive,dilute earnings per share eps rise eur versus eur
Diluted EPS rose to EUR3 .68 from EUR0 .50 .,positive,dilute eps rise eur eur
EBIT margin was up from 1.4 % to 5.1 % .,positive,ebit margin
"EPS from continuing operations came in at 0.30 eur , up from 0.17 .",positive,eps continue operation come eur
"Equity ratio was 60.9 % compared to 54.2 % In the third quarter of 2007 , net sales of the Frozen Foods Business totaled EUR 11.0 , up by about 5 % from the third quarter of 2006 .",positive,equity ratio compare third quarter net sale freeze food business totale eur third quarter
"EUR928 ,000 in Q1 2010 6 May 2010 - Finnish textile and clothing design company Marimekko Oyj ( HEL : MMO1V ) said today its net profit rose to EUR928 ,000 in the first quarter of 2010 from EUR13 ,000 in the corresponding period a year earlier .",positive,eur may finnish textile clothing design company marimekko oyj hel mmo say today net profit rise eur first quarter eur corresponding period year early
"Finland-based Elcoteq SE , a privately held provider of electronics manufacturing services to communications companies , said Thursday it signed a long-term manufacturing supply deal with communications equipment company Andrew Corp. .",positive,finland base elcoteq be privately hold provider electronics manufacturing service communication company say Thursday sign long term manufacturing supply deal communication equipment company andrew corp
Finnish cutlery and hand tools maker Fiskars Oyj Abp ( HEL : FISAS ) said today its net profit rose to EUR 24.1 million ( USD 33.6 m ) in the third quarter of 2010 from EUR 17.9 million a year earlier .,positive,finnish cutlery hand tool maker fiskar oyj abp hel fisa say today net profit rise eur million usd third quarter eur million year early
Finnish department store chain Stockmann Oyj Abp net profit rose to 39.8 mln euro ( $ 56.8 mln ) for the first nine months of 2007 from 37.4 mln euro ( $ 53.4 mln ) for the same period of 2006 .,positive,finnish department store chain stockmann oyj abp net profit rose mln euro mln first nine month mln euro mln period
"Finnish lifting equipment maker Konecranes Oyj said on July 30 , 2008 that its net profit rose to 71.2 mln euro ( $ 111.1 mln ) for the first half of 2008 from 57.1 mln euro ( $ 89.1 mln ) for the same period of 2007 .",positive,finnish lift equipment maker konecrane oyj say july net profit rose mln euro mln first half mln euro mln period
Finnish metal industry solutions supplier Outotec Oyj net profit rose to 50.4 mln euro ( $ 72.5 mln ) for the first nine months of 2007 from 20.1 mln euro ( $ 28.9 mln ) for the same period of 2006 .,positive,finnish metal industry solution supplier outotec oyj net profit rise mln euro mln first nine month mln euro mln period
Finnish metal products company Componenta Oyj net profit rose to 26.1 mln euro ( $ 35.9 mln ) for the first quarter of 2007 from 5.3 mln euro ( $ 7.3 mln ) for the same period of 2006 .,positive,finnish metal product company componenta oyj net profit rise mln euro mln first quarter mln euro mln period
Finnish office supplies and computer accessories dealer Beltton-Group Plc said its net profit rose to 1.3 mln euro ( $ 1.7 mln ) in 2006 from 1.13 mln euro ( $ 1.5 mln ) in 2005 .,positive,finnish office supplies computer accessory dealer beltton group plc say net profit rose mln euro mln mln euro mln
"Finnish security and privacy software solutions developer Stonesoft Oyj said on January 7 , 2008 that the preliminary sales of its StoneGate products grew by 59 pct year-on-year to 3.6 mln euro ( $ 5.3 mln ) for the fourth quarter of 2007 .",positive,finnish security privacy software solution developer stonesoft oyj say january preliminary sale stonegate product grow pct year year mln euro mln fourth quarter
"Finnish silicon wafer technology company Okmetic Oyj ( OMX Helsinki : OKM1V ) reported on Thursday ( 7 August ) an operating profit of EUR5 .3 m for the period January-June 2008 , up from EUR3 .3 m in the corresponding period in 2007 .",positive,finnish silicon wafer technology company okmetic oyj omx helsinki okm report Thursday august operating profit eur period january June eur corresponding period
Finnish software developer Done Solutions Oyj said its net profit increased to 3.5 mln euro ( $ 4.6 mln ) in 2006 from 2.3 mln euro ( $ 3.0 mln ) in 2005 .,positive,finnish software developer do solution oyj say net profit increase mln euro mln mln euro mln
First quarter underlying operating profit rose to 41 mln eur from 33 mln a year earlier .,positive,first quarter underlying operating profit rose mln eur mln year early
"For the first nine months of 2010 , the company 's net profit rose to EUR41m from EUR30m for the corresponding period of 2009 .",positive,first nine month company net profit rise eur eur corresponding period
"HELSINKI ( AFX ) - Retail and wholesale group Kesko reported net sales of 659.4 mln eur for February , an increase of 10.8 pct year-on-year .",positive,helsinki afx retail wholesale group kesko report net sale mln eur february increase pct year year
"However , net sales in 2010 are seen to have grown to EUR598 .3 m from EUR582 .3 m in 2009 .",positive,however net sale see grow eur eur
"However , sales returned to growth in April-June 2010 , CEO Pekka Eloholma said .",positive,however sale return growth april June ceo pekka eloholma say
"Ragutis , which is controlled by the Finnish brewery , reported a 5.4-per-cent rise in beer sales to 10.44 million litres and held an 11.09-per-cent market share .",positive,ragutis control finnish brewery report per cent rise beer sale million litre hold per cent market share
"Svyturys-Utenos Alus , which is controlled by the Nordic group Baltic Beverages Holding ( BBH ) , posted a 4.7-per-cent growth in beer sales for January-May to 46.22 million litres .",positive,svytury uteno alus control nordic group baltic beverage hold bbh post per cent growth beer sale january may million litre
"In December alone , the members of the Lithuanian Brewers ' Association sold a total of 20.3 million liters of beer , an increase of 1.9 percent from the sales of 19.92 million liters in December 2004 .",positive,december alone member lithuanian brewer association sell total million liter beer increase percent sale million liter december
"In January-September 2009 , the Group 's net interest income increased to EUR 112.4 mn from EUR 74.3 mn in January-September 2008 .",positive,january september group net interest income increase eur mn eur mn january september
"In Q1 of 2010 , Bank of +land 's net interest income increased from EUR 9.1 mn to EUR 9.7 mn .",positive,bank land net interest income increase eur mn eur mn
"In Sweden , operating profit for the period under review totaled EUR 3.4 mn , up 30.8 % from the corresponding period in 2005 .",positive,sweden operating profit period review totale eur mn corresponding period
"In the fourth quarter of 2009 , Orion 's net profit went up by 33.8 % year-on-year to EUR33m .",positive,fourth quarter orion net profit go year year eur
"In the second quarter of 2010 , the group 's net profit rose to EUR 3.1 million from EUR 2.5 million in April-June 2009 .",positive,second quarter group net profit rose eur million eur million april June
"In the second quarter of 2010 , the group 's net profit rose to EUR3 .1 m from EUR2 .5 m in April-June 2009 .",positive,second quarter group net profit rose eur eur april June
"In the third quarter , net sales increased by 12 % year-on-year to EUR 159.5 million , or by 6 % at comparable currency rates growth .",positive,third quarter net sale increase year year eur million comparable currency rate growth
"In the third quarter , net sales increased by 12 % year-on-year to EUR159 .5 m , or by 6 % at comparable currency rates growth .",positive,third quarter net sale increase year year eur comparable currency rate growth
Its market share widened to 48.51 percent from 48.31 percent a year earlier .,positive,market share widen percent percent year early
"Kesko Agro Eesti , the retailer and wholesaler of grain , agricultural and warehousing machinery and accessories , had net sales of 81 million euros in 2007 , an increase by one-tenth over the preceding year .",positive,kesko agro eesti retailer wholesaler grain agricultural warehousing machinery accessory net sale million euro increase one tenth preced year
"Kesko 's car import and retailing business , VV-Auto , saw sales grow by 17.1 pct .",positive,kesko car import retailing business vv auto see sale grow pct
Kone 's net sales rose by some 14 % year-on-year in the first nine months of 2008 .,positive,kone net sale rise year year first nine month
"( ADP News ) - Feb 11 , 2009 - Finnish management software solutions provider Ixonos Oyj ( HEL : XNS1V ) said today its net profit rose to EUR 3.5 million ( USD 4.5 m ) for 2008 from EUR 3.1 million for 2007 .",positive,adp news February finnish management software solution provider ixono oyj hel xns say today net profit rise eur million usd eur million
"( ADP News ) - Feb 12 , 2009 - Finnish IT solutions provider Affecto Oyj ( HEL : AFE1V ) said today its net profit rose to EUR 8.5 million ( USD 11m ) in 2008 from EUR 7 million in 2007 .",positive,adp news February finnish solution provider affecto oyj hel afe say today net profit rise eur million usd eur million
"( ADP News ) - Feb 6 , 2009 - Finnish fishing tackle company Rapala VMC Corp ( HEL : RAP1V ) said today its net profit rose to EUR 19.2 million ( USD 24.6 m ) for 2008 from EUR 17.5 million for 2007 .",positive,adp news February finnish fishing tackle company rapala vmc corp hel rap say today net profit rise eur million usd eur million
"( ADP News ) - Nov 5 , 2008 - Finnish electronic measurement products and solutions maker Vaisala Oyj ( OMX : VAIAS ) said today that its net profit rose to EUR 18 million ( USD 23.1 m ) for the first nine months of 2008 from EUR 1",positive,adp news nov finnish electronic measurement product solution maker vaisala oyj omx vaias say today net profit rise eur million usd first nine month eur
"( ADP News ) - Oct 29 , 2008 - Finnish lifting equipment maker Konecranes Oyj ( OMX : KCR1V ) said today that its net profit rose to EUR 116.6 million ( USD 149.1 m ) in the first nine months of 2008 from EUR 73.6 million for the s",positive,adp news oct finnish lift equipment maker konecrane oyj omx kcr say today net profit rise eur million usd first nine month eur million
"Metso expects its net sales to increase by about 10 % in 2008 , at comparable exchange rates .",positive,metso expect net sale increase comparable exchange rate
Net interest income increased by 4.5 % to EUR 31.4 mn from EUR 30.0 mn in 2004 .,positive,net interest income increase eur mn eur mn
"Net interest income was EUR 152.2 mn , up from EUR 101.0 mn in 2008 .",positive,net interest income eur mn eur mn
"Net interest income was EUR 39.3 mn , up from EUR 32.7 mn .",positive,net interest income eur mn eur mn
Net sales of the Vegetable Oil Business rose to EUR 10.6 mn from EUR 10.1 mn .,positive,net sale vegetable oil business rise eur mn eur mn
"Nokia Multimedia 's net sales totaled EUR 5.7 bn , up 45 % from the corresponding period in 2005 .",positive,nokia multimedia net sale totale eur billion corresponding period
Operating income rose to EUR 696.4 mn from EUR 600.3 mn in 2009 .,positive,operating income rose eur mn eur mn
"Operating profit of Kauppalehti group rose to EUR 1.5 mn from EUR 1.3 mn , and that of Marketplaces to EUR 1.3 mn from EUR 1.0 mn in the third quarter of 2006 .",positive,operating profit kauppalehti group rise eur mn eur mn marketplace eur mn eur mn third quarter
Operating profit rose from EUR 1.94 mn to EUR 2.45 mn .,positive,operating profit rose eur mn eur mn
Operating profit rose to 22.1 mln eur from 19.9 mln .,positive,operating profit rose mln eur mln
Operating profit rose to EUR 103.4 mn from EUR 23.2 in the corresponding period in 2006 .,positive,operating profit rise eur mn eur corresponding period
Operating profit rose to EUR 27.8 mn from EUR 17.5 mn in 2008 .,positive,operating profit rose eur mn eur mn
Operating profit rose to EUR 4.7 mn from EUR 3.6 mn .,positive,operating profit rose eur mn eur mn
Operating profit rose to EUR2 .4 m from EUR1 .6 m year earlier .,positive,operating profit rise eur eur year early
"Operating profit surged to EUR21m from EUR106 ,000 .",positive,operating profit surge eur eur
"Operating profit totaled EUR 37,7 mn , up slightly from EUR 37.2 mn in the corresponding period in 2006 .",positive,operating profit totale eur mn slightly eur mn corresponding period
"Operating profit totaled EUR 5.5 mn , up from EUR -0.7 mn .",positive,operating profit totale eur mn eur mn
